date,code,open,high,low,close,volume
2020-06-03,sh.600918,5.2600,6.3100,5.2600,6.3100,2866574
2020-06-04,sh.600918,6.9400,6.9400,6.9400,6.9400,903254
2020-06-05,sh.600918,7.6300,7.6300,7.6300,7.6300,1413685
2020-06-08,sh.600918,8.3900,8.3900,8.3900,8.3900,1464402
2020-06-09,sh.600918,9.2300,9.2300,9.2300,9.2300,7559753
2020-06-10,sh.600918,10.1500,10.1500,10.1500,10.1500,6565665
2020-06-11,sh.600918,11.1700,11.1700,11.1700,11.1700,3880493
2020-06-12,sh.600918,12.2900,12.2900,12.2900,12.2900,10493977
2020-06-15,sh.600918,13.5200,13.5200,13.5200,13.5200,8931206
2020-06-16,sh.600918,14.1200,14.5000,13.6200,14.2500,512877872
2020-06-17,sh.600918,13.9900,14.2200,13.7100,14.0800,298972176
2020-06-18,sh.600918,13.8400,14.3300,13.7000,13.9800,277741008
2020-06-19,sh.600918,13.7400,14.6300,13.2200,14.1000,322000176
2020-06-22,sh.600918,13.8200,15.5100,13.6300,14.3500,369336192
2020-06-23,sh.600918,14.1700,14.5200,13.9100,14.3500,209937873
2020-06-24,sh.600918,14.3300,14.5500,13.8100,13.8100,179167222
2020-06-29,sh.600918,13.2900,13.3700,12.4300,12.4900,216884318
2020-06-30,sh.600918,12.5700,13.1400,12.4500,12.8400,157616255
2020-07-01,sh.600918,12.7500,13.0500,12.5900,12.9500,130425627
2020-07-02,sh.600918,12.9400,14.2500,12.8700,14.2500,298247984
2020-07-03,sh.600918,14.8500,15.6800,14.5000,15.6800,292028160
2020-07-06,sh.600918,17.2500,17.2500,17.2500,17.2500,8667972
2020-07-07,sh.600918,18.9800,18.9800,18.3300,18.9800,147894644
2020-07-08,sh.600918,18.6700,20.8800,18.3000,20.7900,344252832
2020-07-09,sh.600918,19.7900,21.6900,19.5000,20.3100,326553408
2020-07-10,sh.600918,19.5300,20.2700,19.2200,19.7200,202305749
2020-07-13,sh.600918,19.3500,21.1500,19.2200,19.9900,209588372
2020-07-14,sh.600918,19.6000,21.3000,19.3300,20.9800,224687187
2020-07-15,sh.600918,21.5000,23.0800,20.6100,21.6300,347834336
2020-07-16,sh.600918,21.6000,21.6000,19.4700,19.4700,217053293
2020-07-17,sh.600918,18.9000,19.2400,17.5200,17.5200,180504381
2020-07-20,sh.600918,17.8900,18.7900,17.4200,18.5800,149927796
2020-07-21,sh.600918,18.2500,18.5000,17.5100,17.8000,117370069
2020-07-22,sh.600918,17.7000,18.8500,17.6600,17.8800,133378136
2020-07-23,sh.600918,17.5000,18.1900,17.0500,18.0000,114235258
2020-07-24,sh.600918,17.8100,17.8200,16.2000,16.2200,129017824
2020-07-27,sh.600918,16.3600,16.5400,15.7000,16.3400,72201923
2020-07-28,sh.600918,16.4400,16.9700,16.2200,16.7200,85727636
2020-07-29,sh.600918,16.5000,17.6500,16.4200,17.4700,112401294
2020-07-30,sh.600918,17.4000,17.4000,16.8900,16.9100,89193751
2020-07-31,sh.600918,16.8100,17.5500,16.8100,17.1500,84119361
2020-08-03,sh.600918,17.4100,18.5400,17.0500,18.3800,127937183
2020-08-04,sh.600918,18.0100,18.4600,17.6700,17.8000,108152638
2020-08-05,sh.600918,17.6000,17.8900,17.3000,17.6900,65926570
2020-08-06,sh.600918,17.6600,18.4700,17.2500,18.2400,108413431
2020-08-07,sh.600918,17.7000,18.1000,17.0100,17.3500,99293268
2020-08-10,sh.600918,17.0800,17.6500,16.9100,17.1700,67715359
2020-08-11,sh.600918,17.1000,17.4500,16.3500,16.3900,72146413
2020-08-12,sh.600918,16.2700,16.5000,15.7800,16.2000,55864959
2020-08-13,sh.600918,16.3100,16.6700,16.0900,16.4100,50849039
2020-08-14,sh.600918,16.2100,16.5500,16.1700,16.4800,39673692
2020-08-17,sh.600918,16.8300,17.9600,16.7700,17.3900,101871256
2020-08-18,sh.600918,17.4000,17.4300,16.9800,17.0900,59951404
2020-08-19,sh.600918,17.0100,17.1900,16.6100,16.6600,50980594
2020-08-20,sh.600918,16.4000,16.6300,16.1800,16.2500,36498693
2020-08-21,sh.600918,16.3900,16.6900,16.2100,16.4300,31388862
2020-08-24,sh.600918,16.4800,16.5400,16.2000,16.3500,26728669
2020-08-25,sh.600918,16.3500,16.6000,16.2700,16.3500,30915592
2020-08-26,sh.600918,16.3500,16.3900,15.6800,15.7100,46939783
2020-08-27,sh.600918,15.7100,15.7600,15.1500,15.5400,40945520
2020-08-28,sh.600918,15.5500,16.2800,15.4100,16.0700,52231172
2020-08-31,sh.600918,16.1200,16.4500,15.8900,15.8900,48227442
2020-09-01,sh.600918,15.7700,15.9800,15.6600,15.8600,26370253
2020-09-02,sh.600918,15.8000,16.2700,15.5600,15.8900,40391225
2020-09-03,sh.600918,15.8700,16.2700,15.7700,15.9200,40313954
2020-09-04,sh.600918,15.5400,15.7700,15.4500,15.6600,29079651
2020-09-07,sh.600918,15.5900,15.7100,14.8100,14.9200,40160002
2020-09-08,sh.600918,15.0600,15.3000,14.6100,15.0700,39496347
2020-09-09,sh.600918,14.8400,14.8700,14.4000,14.4200,37587302
2020-09-10,sh.600918,14.6000,14.6500,13.9400,14.0200,32346556
2020-09-11,sh.600918,13.9900,14.1400,13.9100,14.0500,25177250
2020-09-14,sh.600918,14.1500,14.2900,14.0200,14.1900,21879007
2020-09-15,sh.600918,14.2100,14.2200,14.0400,14.1300,17945076
2020-09-16,sh.600918,14.0800,14.4800,14.0800,14.1900,31127365
2020-09-17,sh.600918,14.1200,14.5500,14.0000,14.2600,33258964
2020-09-18,sh.600918,14.2000,15.6900,14.1500,15.5200,88104501
2020-09-21,sh.600918,16.2200,16.4500,15.3000,15.3100,75454955
2020-09-22,sh.600918,15.0000,15.9900,14.9600,15.5000,60992802
2020-09-23,sh.600918,15.3900,15.4900,15.1300,15.2000,35244569
2020-09-24,sh.600918,15.0800,15.3800,15.0200,15.1200,28698466
2020-09-25,sh.600918,15.1900,15.7500,15.0900,15.5100,42160287
2020-09-28,sh.600918,15.3500,15.5500,15.2800,15.4000,21046204
2020-09-29,sh.600918,15.5000,15.9200,15.5000,15.6700,37389774
2020-09-30,sh.600918,15.7800,15.8700,15.2500,15.4100,30539680
2020-10-09,sh.600918,15.7000,15.7800,15.4500,15.6300,26158422
2020-10-12,sh.600918,15.9600,16.2500,15.6900,16.1200,52128067
2020-10-13,sh.600918,15.8000,15.8000,15.4700,15.6000,46004639
2020-10-14,sh.600918,15.5100,15.6000,15.1600,15.1900,28011136
2020-10-15,sh.600918,15.2400,15.5000,15.1800,15.2200,21235124
2020-10-16,sh.600918,15.1700,15.4100,15.1300,15.3200,17620756
2020-10-19,sh.600918,15.4500,15.5400,14.9700,15.0000,24648468
2020-10-20,sh.600918,14.8800,14.9000,14.5000,14.8600,26851122
2020-10-21,sh.600918,14.8000,14.9400,14.7200,14.8200,16681880
2020-10-22,sh.600918,14.7300,15.1400,14.6700,14.9500,21173905
2020-10-23,sh.600918,14.8400,15.0500,14.5400,14.6000,20983788
2020-10-26,sh.600918,14.5000,14.5000,14.0400,14.1700,22647375
2020-10-27,sh.600918,14.0600,14.2700,14.0500,14.1800,13830887
2020-10-28,sh.600918,14.1400,14.2600,14.0800,14.2100,13116848
2020-10-29,sh.600918,13.9800,14.3500,13.9100,14.2200,20181862
2020-10-30,sh.600918,14.2300,14.2800,13.5200,13.5500,27370779
2020-11-02,sh.600918,13.5900,13.9500,13.0000,13.1300,30936724
2020-11-03,sh.600918,13.1500,13.6000,13.1000,13.4100,25047227
2020-11-04,sh.600918,13.4100,13.5800,13.2000,13.4100,17785204
2020-11-05,sh.600918,13.7000,13.8200,13.5300,13.6000,22867835
2020-11-06,sh.600918,13.6400,13.9500,13.5400,13.8000,29519354
2020-11-09,sh.600918,13.9600,15.1000,13.8200,14.9000,60947428
2020-11-10,sh.600918,14.8300,14.8800,14.3300,14.4000,41085282
2020-11-11,sh.600918,14.2900,14.5400,14.0800,14.1500,22585724
2020-11-12,sh.600918,14.1900,14.2800,13.9900,14.0500,15412600
2020-11-13,sh.600918,13.9800,14.2500,13.9100,14.1000,14747900
2020-11-16,sh.600918,14.2800,14.3500,14.0500,14.1800,17213802
2020-11-17,sh.600918,14.1500,14.2300,13.9200,14.2100,17706071
2020-11-18,sh.600918,14.2000,14.5500,14.1200,14.2900,25435784
2020-11-19,sh.600918,14.1100,14.3800,13.9300,14.2700,19905801
2020-11-20,sh.600918,14.1700,14.5500,14.1100,14.4300,25919409
2020-11-23,sh.600918,14.3000,15.4900,14.2200,15.0300,82594237
2020-11-24,sh.600918,14.9800,15.7100,14.9200,15.2700,73999334
2020-11-25,sh.600918,15.4800,15.7000,14.8800,14.8900,53986298
2020-11-26,sh.600918,15.0000,15.9500,14.9200,15.6400,87204599
2020-11-27,sh.600918,15.5000,15.9300,15.2200,15.9100,70872946
2020-11-30,sh.600918,16.2200,17.5000,16.0000,16.6400,198794086
2020-12-01,sh.600918,16.2200,18.2800,16.1800,17.4900,190000953
2020-12-02,sh.600918,17.2800,18.0200,17.0000,17.3400,143444388
2020-12-03,sh.600918,17.1100,17.4800,16.7200,16.9000,91812001
2020-12-04,sh.600918,16.6500,16.8800,16.2000,16.5700,66642819
2020-12-07,sh.600918,16.5000,16.7500,16.3500,16.4400,44285033
2020-12-08,sh.600918,16.4500,16.6600,16.2200,16.2300,49871429
2020-12-09,sh.600918,16.2900,16.5900,15.0100,15.5000,73771660
2020-12-10,sh.600918,15.2800,15.8600,15.2300,15.6800,54317044
2020-12-11,sh.600918,15.6500,16.1600,15.6000,15.7300,77253871
2020-12-14,sh.600918,15.9000,16.3500,15.7500,16.0300,45645035
2020-12-15,sh.600918,15.8700,16.1700,15.6500,15.9800,34944701
2020-12-16,sh.600918,16.0700,16.0700,15.2800,15.3900,39988341
2020-12-17,sh.600918,15.3700,16.9300,15.3000,16.9300,103177117
2020-12-18,sh.600918,16.8400,17.2200,16.6300,16.7100,90150315
2020-12-21,sh.600918,16.6600,17.3800,16.5000,17.1500,77601502
2020-12-22,sh.600918,16.9200,17.0100,16.0500,16.1100,76055367
2020-12-23,sh.600918,16.3000,16.9300,16.2000,16.6100,63719438
2020-12-24,sh.600918,16.3800,17.0200,16.3200,16.5000,57935317
2020-12-25,sh.600918,16.3300,17.5000,15.8600,17.2300,104553009
2020-12-28,sh.600918,16.7700,17.1500,16.4500,16.7400,73290314
2020-12-29,sh.600918,16.7500,17.4500,16.7500,16.8300,74013238
2020-12-30,sh.600918,16.4800,17.6000,16.3300,17.5900,103187086
2020-12-31,sh.600918,17.7800,19.1800,17.7000,18.5000,135455498
2021-01-04,sh.600918,18.5200,18.6900,17.6300,17.9800,110058521
2021-01-05,sh.600918,17.7000,18.0500,17.0900,17.5000,98969040
2021-01-06,sh.600918,17.3600,17.7900,16.9300,17.2300,64790397
2021-01-07,sh.600918,17.1200,17.5000,16.8600,17.4500,63067416
2021-01-08,sh.600918,17.2600,17.5000,17.0400,17.0700,39665158
2021-01-11,sh.600918,17.1500,17.2900,16.2000,16.2900,51028033
2021-01-12,sh.600918,16.0200,17.2700,16.0200,17.0600,65249577
2021-01-13,sh.600918,16.9000,17.0100,16.0200,16.2200,56912369
2021-01-14,sh.600918,16.1200,16.3400,15.7600,15.9000,33868802
2021-01-15,sh.600918,15.9600,16.3500,15.9000,16.0200,30703558
2021-01-18,sh.600918,15.9800,16.4600,15.9300,16.2000,29642907
2021-01-19,sh.600918,16.1900,16.6000,16.0600,16.2600,35941176
2021-01-20,sh.600918,16.2600,16.4100,16.0800,16.1000,27750467
2021-01-21,sh.600918,16.1400,16.5700,16.0000,16.2800,42512038
2021-01-22,sh.600918,16.1600,16.2500,15.3100,15.3400,60791787
2021-01-25,sh.600918,15.3000,15.5500,14.7600,14.8100,45324092
2021-01-26,sh.600918,14.7300,14.9100,14.3800,14.4500,32005685
2021-01-27,sh.600918,14.4900,14.6500,14.1800,14.2300,25125684
2021-01-28,sh.600918,14.0300,14.7000,13.9600,14.3900,30974729
2021-01-29,sh.600918,14.5100,14.6500,14.1700,14.5100,24642701
2021-02-01,sh.600918,14.5400,14.7500,14.3600,14.4900,19904760
2021-02-02,sh.600918,14.5200,14.7000,14.4200,14.6800,22395031
2021-02-03,sh.600918,14.5600,14.6500,13.9700,13.9900,30402147
2021-02-04,sh.600918,13.8500,14.0300,13.2800,13.5600,24834834
2021-02-05,sh.600918,13.7000,13.8300,13.3700,13.4000,19824337
2021-02-08,sh.600918,13.4300,13.8000,13.4300,13.6800,18011338
2021-02-09,sh.600918,13.6300,14.0400,13.3100,14.0000,26888264
2021-02-10,sh.600918,14.0000,14.0100,13.7500,13.8500,18911530
2021-02-18,sh.600918,14.1000,14.6300,14.1000,14.2600,30080533
2021-02-19,sh.600918,14.0600,14.5500,14.0100,14.5200,24458218
2021-02-22,sh.600918,14.5600,14.8200,14.2700,14.2900,28880488
2021-02-23,sh.600918,14.2700,14.4000,14.1100,14.1500,17015104
2021-02-24,sh.600918,14.1200,14.3900,14.0400,14.2300,18359288
2021-02-25,sh.600918,14.3200,14.3600,14.1000,14.1900,15546688
2021-02-26,sh.600918,14.0000,14.1900,13.8500,13.8700,17923807
2021-03-01,sh.600918,13.9500,13.9700,13.7000,13.8700,14079234
2021-03-02,sh.600918,14.0100,14.5000,13.9500,14.2100,33240824
2021-03-03,sh.600918,14.0200,14.2800,14.0000,14.2500,20695799
2021-03-04,sh.600918,14.1200,14.1900,13.8900,13.9300,18715470
2021-03-05,sh.600918,13.9000,14.3900,13.9000,14.2300,25164865
2021-03-08,sh.600918,14.3700,14.4300,13.9000,13.9400,22243168
2021-03-09,sh.600918,13.9500,14.0300,13.1300,13.3700,23262070
2021-03-10,sh.600918,13.4900,13.5300,13.2800,13.3400,11618991
2021-03-11,sh.600918,13.4300,13.5500,13.3200,13.4800,13075294
2021-03-12,sh.600918,13.4400,13.7400,13.0800,13.4200,24934478
2021-03-15,sh.600918,13.2600,13.2900,13.0200,13.0900,15238975
2021-03-16,sh.600918,13.1100,13.2000,13.0200,13.1400,9263453
2021-03-17,sh.600918,13.0800,13.4000,13.0700,13.3000,12489694
2021-03-18,sh.600918,13.2100,13.3900,13.2000,13.2400,10669949
2021-03-19,sh.600918,13.1700,13.4500,13.1100,13.3000,19183151
2021-03-22,sh.600918,13.3900,13.7900,13.3500,13.6800,24638773
2021-03-23,sh.600918,13.5500,13.9600,13.4000,13.8700,28423051
2021-03-24,sh.600918,13.6900,14.9800,13.6600,14.2100,55630110
2021-03-25,sh.600918,13.9800,14.3600,13.8600,13.8900,25723811
2021-03-26,sh.600918,13.8900,14.0000,13.7000,13.8300,18001868
2021-03-29,sh.600918,13.7600,13.8800,13.6800,13.7100,13312858
2021-03-30,sh.600918,13.7100,13.8300,13.6700,13.7200,10621494
2021-03-31,sh.600918,13.7100,13.7200,13.3000,13.3400,15730477
2021-04-01,sh.600918,13.3100,13.4500,13.2900,13.3800,9063675
2021-04-02,sh.600918,13.4000,13.6800,13.3600,13.4900,14284118
2021-04-06,sh.600918,13.5000,13.6200,13.4400,13.4600,9075253
2021-04-07,sh.600918,13.4300,13.6400,13.3500,13.5500,11727662
2021-04-08,sh.600918,13.4900,13.8700,13.4700,13.5700,21667256
2021-04-09,sh.600918,13.4900,13.5800,13.3500,13.3700,11436043
2021-04-12,sh.600918,13.3000,13.4000,13.0800,13.1300,12615048
2021-04-13,sh.600918,13.1300,13.2600,13.0600,13.2400,10459205
2021-04-14,sh.600918,13.2000,13.3600,13.1800,13.3300,9222583
2021-04-15,sh.600918,13.2500,13.2800,13.0300,13.0800,12975697
2021-04-16,sh.600918,13.1300,13.1700,13.0800,13.1200,8765266
2021-04-19,sh.600918,13.0900,13.4000,13.0600,13.3500,16579770
2021-04-20,sh.600918,13.2900,13.5000,13.1500,13.1800,15544509
2021-04-21,sh.600918,13.0700,13.2600,13.0700,13.1500,8053373
2021-04-22,sh.600918,13.2000,13.3000,13.0800,13.1300,12682539
2021-04-23,sh.600918,13.0800,13.2100,13.0500,13.0600,11703464
2021-04-26,sh.600918,13.0500,13.1400,11.9600,12.1300,40291624
2021-04-27,sh.600918,12.1200,12.1700,11.5000,11.5800,32234674
2021-04-28,sh.600918,11.5600,11.6400,11.4100,11.4800,13862237
2021-04-29,sh.600918,11.3200,11.7500,11.3200,11.5400,19170509
2021-04-30,sh.600918,11.5000,11.5700,10.5000,10.6300,45773126
2021-05-06,sh.600918,10.7200,10.8300,10.4200,10.5200,18597140
2021-05-07,sh.600918,10.4700,10.5400,10.1200,10.1700,27192189
2021-05-10,sh.600918,10.1800,10.2700,10.0600,10.2500,15507968
2021-05-11,sh.600918,10.1500,10.5400,10.1500,10.4300,23595525
2021-05-12,sh.600918,10.3400,10.4800,10.2800,10.3900,13609069
2021-05-13,sh.600918,10.3000,10.4700,10.2400,10.3200,13616251
2021-05-14,sh.600918,10.3600,11.3500,10.2800,11.3500,58260759
2021-05-17,sh.600918,11.2000,11.4100,10.9500,11.1000,46275983
2021-05-18,sh.600918,11.0400,11.4000,10.9500,11.1100,26413366
2021-05-19,sh.600918,11.0500,11.2500,10.9800,11.0600,20492577
2021-05-20,sh.600918,10.9800,11.9000,10.9100,11.4500,46032319
2021-05-21,sh.600918,11.3800,11.4700,11.0200,11.0600,27799384
2021-05-24,sh.600918,11.1200,11.3900,11.1200,11.1900,26540336
2021-05-25,sh.600918,11.1200,11.8000,11.0900,11.6200,54147890
2021-05-26,sh.600918,11.6200,12.0000,11.4800,11.4900,56204139
2021-05-27,sh.600918,11.4700,11.6600,11.4000,11.5500,29288225
2021-05-28,sh.600918,11.4000,11.6600,11.1300,11.3200,48796239
