date,code,open,high,low,close,volume
2020-01-02,sz.300413,35.0000,38.4600,35.0000,38.4600,22690673
2020-01-03,sz.300413,38.8000,40.3300,37.9100,39.3500,25143321
2020-01-06,sz.300413,37.8000,40.4500,37.7000,39.8800,16104965
2020-01-07,sz.300413,39.3500,41.8700,39.1100,40.9500,14193824
2020-01-08,sz.300413,40.2000,41.0000,38.8800,39.1700,12761373
2020-01-09,sz.300413,39.6900,40.1500,38.1800,39.3400,13107303
2020-01-10,sz.300413,39.3400,39.7700,38.6700,39.1000,7642427
2020-01-13,sz.300413,39.1300,40.5600,38.8500,39.7700,9580998
2020-01-14,sz.300413,40.4000,43.5000,39.6600,41.3500,16710466
2020-01-15,sz.300413,41.8900,42.3000,40.0600,41.2000,10883590
2020-01-16,sz.300413,40.3400,41.7500,39.9100,40.2300,9064519
2020-01-17,sz.300413,40.3200,41.3000,39.5000,40.0000,9773290
2020-01-20,sz.300413,40.0000,41.4400,39.2600,40.9300,9334061
2020-01-21,sz.300413,40.7800,43.5800,40.3100,42.7200,12267417
2020-01-22,sz.300413,42.5900,45.0000,41.2100,44.4000,10605432
2020-01-23,sz.300413,44.2800,47.5600,43.5800,45.9900,14334477
2020-02-03,sz.300413,41.9900,45.4100,41.3900,41.7000,16295323
2020-02-04,sz.300413,42.7700,45.8700,42.1500,45.8700,16406014
2020-02-05,sz.300413,45.4000,47.8300,44.6000,45.1100,17799533
2020-02-06,sz.300413,44.8000,49.6200,43.7700,48.9000,20941869
2020-02-07,sz.300413,48.9000,53.5500,48.0000,50.3500,21269930
2020-02-10,sz.300413,50.1000,51.5100,48.6500,50.7500,15859642
2020-02-11,sz.300413,50.3200,50.9800,47.8100,49.1900,14516113
2020-02-12,sz.300413,49.4100,52.5000,48.5900,51.7700,13903092
2020-02-13,sz.300413,51.8000,51.8000,49.5700,51.1000,12512155
2020-02-14,sz.300413,50.2200,51.1800,48.5800,49.3500,14734099
2020-02-17,sz.300413,49.8400,51.7800,48.8700,50.8000,12655103
2020-02-18,sz.300413,51.6600,52.3900,49.8800,51.6000,12207583
2020-02-19,sz.300413,50.8800,51.3800,48.1100,49.1500,13847458
2020-02-20,sz.300413,49.4000,49.6500,48.4000,49.3500,13298381
2020-02-21,sz.300413,49.3000,50.2700,48.2200,49.8200,11756402
2020-02-24,sz.300413,49.8000,49.8000,47.8000,48.9400,15303826
