code,code_name
sh.000001,上证指数
sz.399106,深证综指
sh.000300,沪深300
sh.600000,浦发银行
sh.600009,上海机场
sh.600010,包钢股份
sh.600011,华能国际
sh.600015,华夏银行
sh.600016,民生银行
sh.600018,上港集团
sh.600019,宝钢股份
sh.600025,华能水电
sh.600028,中国石化
sh.600029,南方航空
sh.600030,中信证券
sh.600031,三一重工
sh.600036,招商银行
sh.600048,保利发展
sh.600050,中国联通
sh.600061,国投资本
sh.600079,人福医药
sh.600085,同仁堂
sh.600104,上汽集团
sh.600109,国金证券
sh.600111,北方稀土
sh.600115,中国东航
sh.600118,中国卫星
sh.600132,重庆啤酒
sh.600143,金发科技
sh.600150,中国船舶
sh.600161,天坛生物
sh.600176,中国巨石
sh.600183,生益科技
sh.600196,复星医药
sh.600233,圆通速递
sh.600276,恒瑞医药
sh.600299,安迪苏
sh.600309,万华化学
sh.600332,白云山
sh.600340,华夏幸福
sh.600346,恒力石化
sh.600352,浙江龙盛
sh.600362,江西铜业
sh.600383,金地集团
sh.600406,国电南瑞
sh.600426,华鲁恒升
sh.600436,片仔癀
sh.600438,通威股份
sh.600482,中国动力
sh.600489,中金黄金
sh.600519,贵州茅台
sh.600521,华海药业
sh.600522,中天科技
sh.600547,山东黄金
sh.600570,恒生电子
sh.600584,长电科技
sh.600585,海螺水泥
sh.600588,用友网络
sh.600600,青岛啤酒
sh.600606,绿地控股
sh.600655,豫园股份
sh.600660,福耀玻璃
sh.600690,海尔智家
sh.600703,三安光电
sh.600705,中航产融
sh.600741,华域汽车
sh.600745,闻泰科技
sh.600760,中航沈飞
sh.600763,通策医疗
sh.600795,国电电力
sh.600809,山西汾酒
sh.600837,海通证券
sh.600845,宝信软件
sh.600848,上海临港
sh.600872,中炬高新
sh.600886,国投电力
sh.600887,伊利股份
sh.600893,航发动力
sh.600900,长江电力
sh.600918,中泰证券
sh.600919,江苏银行
sh.600926,杭州银行
sh.600958,东方证券
sh.600989,宝丰能源
sh.600999,招商证券
sh.601006,大秦铁路
sh.601009,南京银行
sh.601012,隆基股份
sh.601021,春秋航空
sh.601066,中信建投
sh.601077,渝农商行
sh.601088,中国神华
sh.601100,恒立液压
sh.601108,财通证券
sh.601111,中国国航
sh.601138,工业富联
sh.601155,新城控股
sh.601162,天风证券
sh.601166,兴业银行
sh.601169,北京银行
sh.601186,中国铁建
sh.601211,国泰君安
